-1.8000e-02	2.9393e-03
-1.7759e-02	2.9389e-03
-1.7518e-02	2.9385e-03
-1.7276e-02	2.9381e-03
-1.7035e-02	2.9377e-03
-1.6794e-02	2.9373e-03
-1.6553e-02	2.9369e-03
-1.6312e-02	2.9365e-03
-1.6070e-02	2.9361e-03
-1.5829e-02	2.9357e-03
-1.5588e-02	2.9353e-03
-1.5347e-02	2.9350e-03
-1.5106e-02	2.9346e-03
-1.4864e-02	2.9342e-03
-1.4623e-02	2.9338e-03
-1.4382e-02	2.9334e-03
-1.4141e-02	2.9331e-03
-1.3899e-02	2.9327e-03
-1.3658e-02	2.9323e-03
-1.3417e-02	2.9320e-03
-1.3176e-02	2.9316e-03
-1.2935e-02	2.9312e-03
-1.2693e-02	2.9309e-03
-1.2452e-02	2.9305e-03
-1.2211e-02	2.9302e-03
-1.1970e-02	2.9299e-03
-1.1729e-02	2.9295e-03
-1.1487e-02	2.9292e-03
-1.1246e-02	2.9289e-03
-1.1005e-02	2.9286e-03
-1.0764e-02	2.9283e-03
-1.0523e-02	2.9280e-03
-1.0281e-02	2.9277e-03
-1.0040e-02	2.9274e-03
-9.7990e-03	2.9271e-03
-9.5578e-03	2.9269e-03
-9.3166e-03	2.9266e-03
-9.0754e-03	2.9264e-03
-8.8342e-03	2.9261e-03
-8.5930e-03	2.9259e-03
-8.3518e-03	2.9256e-03
-8.1106e-03	2.9254e-03
-7.8693e-03	2.9252e-03
-7.6281e-03	2.9250e-03
-7.3869e-03	2.9248e-03
-7.1457e-03	2.9247e-03
-6.9045e-03	2.9245e-03
-6.6633e-03	2.9243e-03
-6.4221e-03	2.9241e-03
-6.1809e-03	2.9240e-03
-5.9397e-03	2.9239e-03
-5.6985e-03	2.9237e-03
-5.4573e-03	2.9236e-03
-5.2161e-03	2.9235e-03
-4.9749e-03	2.9233e-03
-4.7337e-03	2.9232e-03
-4.4925e-03	2.9231e-03
-4.2513e-03	2.9231e-03
-4.0101e-03	2.9229e-03
-3.7688e-03	2.9229e-03
-3.5276e-03	2.9228e-03
-3.2864e-03	2.9227e-03
-3.0452e-03	2.9226e-03
-2.8040e-03	2.9226e-03
-2.5628e-03	2.9226e-03
-2.3216e-03	2.9225e-03
-2.0804e-03	2.9224e-03
-1.8392e-03	2.9224e-03
-1.5980e-03	2.9224e-03
-1.3568e-03	2.9224e-03
-1.1156e-03	2.9224e-03
-8.7437e-04	2.9224e-03
-6.3317e-04	2.9224e-03
-3.9196e-04	2.9218e-03
-1.5075e-04	2.9211e-03
9.0452e-05	2.9203e-03
3.3166e-04	2.9195e-03
5.7286e-04	2.9183e-03
8.1407e-04	2.9170e-03
1.0553e-03	2.9154e-03
1.2965e-03	2.9139e-03
1.5377e-03	2.9118e-03
1.7789e-03	2.9094e-03
2.0201e-03	2.9071e-03
2.2613e-03	2.9039e-03
2.5025e-03	2.9003e-03
2.7437e-03	2.8960e-03
2.9849e-03	2.8921e-03
3.2261e-03	2.8869e-03
3.4673e-03	2.8808e-03
3.7085e-03	2.8739e-03
3.9497e-03	2.8676e-03
4.1910e-03	2.8593e-03
4.4322e-03	2.8497e-03
4.6734e-03	2.8390e-03
4.9146e-03	2.8295e-03
5.1558e-03	2.8168e-03
5.3970e-03	2.8025e-03
5.6382e-03	2.7898e-03
5.8794e-03	2.7731e-03
6.1206e-03	2.7548e-03
6.3618e-03	2.7348e-03
6.6030e-03	2.7170e-03
6.8442e-03	2.6941e-03
7.0854e-03	2.6692e-03
7.3266e-03	2.6423e-03
7.5678e-03	2.6188e-03
7.8090e-03	2.5890e-03
8.0503e-03	2.5567e-03
8.2915e-03	2.5225e-03
8.5327e-03	2.4932e-03
8.7739e-03	2.4560e-03
9.0151e-03	2.4165e-03
9.2563e-03	2.3827e-03
9.4975e-03	2.3404e-03
9.7387e-03	2.2966e-03
9.9799e-03	2.2507e-03
1.0221e-02	2.2120e-03
1.0462e-02	2.1643e-03
1.0704e-02	2.1151e-03
1.0945e-02	2.0645e-03
1.1186e-02	2.0225e-03
1.1427e-02	1.9714e-03
1.1668e-02	1.9188e-03
1.1910e-02	1.8659e-03
1.2151e-02	1.8226e-03
1.2392e-02	1.7703e-03
1.2633e-02	1.7174e-03
1.2874e-02	1.6741e-03
1.3116e-02	1.6225e-03
1.3357e-02	1.5717e-03
1.3598e-02	1.5211e-03
1.3839e-02	1.4803e-03
1.4080e-02	1.4323e-03
1.4322e-02	1.3853e-03
1.4563e-02	1.3394e-03
1.4804e-02	1.3030e-03
1.5045e-02	1.2607e-03
1.5286e-02	1.2193e-03
1.5528e-02	1.1797e-03
1.5769e-02	1.1489e-03
1.6010e-02	1.1132e-03
1.6251e-02	1.0789e-03
1.6492e-02	1.0522e-03
1.6734e-02	1.0217e-03
1.6975e-02	9.9316e-04
1.7216e-02	9.6617e-04
1.7457e-02	9.4543e-04
1.7698e-02	9.2208e-04
1.7940e-02	9.0035e-04
1.8181e-02	8.8018e-04
1.8422e-02	8.6491e-04
1.8663e-02	8.4797e-04
1.8905e-02	8.3223e-04
1.9146e-02	8.1791e-04
1.9387e-02	8.0725e-04
1.9628e-02	7.9549e-04
1.9869e-02	7.8474e-04
2.0111e-02	7.7674e-04
2.0352e-02	7.6803e-04
2.0593e-02	7.6028e-04
2.0834e-02	7.5331e-04
2.1075e-02	7.4820e-04
2.1317e-02	7.4271e-04
2.1558e-02	7.3785e-04
2.1799e-02	7.3356e-04
2.2040e-02	7.3046e-04
2.2281e-02	7.2718e-04
2.2523e-02	7.2428e-04
2.2764e-02	7.2177e-04
